age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
85,1921, natural causes,January,2006, businessman chairman of IBM (1973–1981),Frank Cary,American,6030.0
49,1957, murdered,January,2006, musician (House of Freaks Gutterball),Bryan Harvey,American,5867.0
64,1942, Alzheimer's disease,January,2006, baseball player (Oakland Athletics),Paul Lindblad,American,6711.0
86,1920, Alzheimer's disease,January,2006, politician Representative from Oregon (1957–1961),Charles O. Porter,American,6330.0
82,1924, cancer,January,2006, nightclub owner (Tropicana Club),Ofelia Fox,Cuban,4353.0
52,1954, stroke,January,2006, New Guinean politician Prime Minister (1997–1999),Sir William Skate,Papua,6383.0
31,1975, probably pulmonary embolism,January,2006, footballer (soccer player),Gábor Zavadszky,Hungarian,4175.0
31,1975, from injuries sustained in a biking accident,January,2006, football (soccer) player,José Luis Sánchez,Argentine,5103.0
55,1951,,January,2006, inventor (KISS rebreather),Gordon Smith,Canadian,3475.0
70,1936, lung cancer,January,2006, actor (The Guiding Light),Don Stewart,American,3936.0
39,1967, heart attack,January,2006, DJ prominent figure in trance music and member of (Jam & Spoon),Mark Spoon,German,4321.0
80,1926,,January,2006, stage (Suddenly Last Summer) and television actress (Another World),Anne Meacham,American,5059.0
83,1923,,January,2006, broadcaster and politician,Gordon Atkinson,Canadian,7454.0
85,1921, heart failure,January,2006, actress (Lolita The Poseidon Adventure),Shelley Winters,American,28353.0
90,1916, doctor to Josip Broz Tito,January,2006, physician,Stjepan Steiner,Croatian,6609.0
90,1916,,January,2006, Financial Secretary of Hong Kong (1961–1971),John James Cowperthwaite,British,8159.0
65,1941,,January,2006, academic and politician (chairman of SHP)[citation needed],Aydın Güven Gürkan,Turkih,8334.0
94,1912,,January,2006, Republican United States Representative from Nebraska (1975–1991),Virginia Smith,former,7425.0
92,1914,,January,2006," humorist (""Peter Simple"")",Michael Wharton,British,9774.0
41,1965, complications from a long illness,January,2006, MLB player,Carlos (Café) Martínez,former,6172.0
75,1931,,January,2006, of Germany (Bundespräsident) from 1999 - 2004,Johannes Rau,President,15807.0
76,1930,,January,2006, Deputy Chief Minister of Gibraltar (1956–1984),Peter Isola,Gibraltarian,5480.0
53,1953,,January,2006, founder of the Broadcast Film Critics Association (BFCA),Paul Clinton,CNN,3264.0
38,1968, complications from drug abuse,January,2006, punk rock singer (Rich Kids on LSD),Jason Sears,American,4466.0
78,1928, U,February,2006, politician,Ronald B. Cameron,American,4677.0
78,1928,,February,2006, British Conservative Member of Parliament,John Woollam,former,3289.0
82,1924, and radio host,February,2006, actor (Grandpa Munster on The Munsters) Green Party political candidate restaurateur,Al Lewis,American,14506.0
79,1927,,February,2006, amyotrophic lateral sclerosis (Lou Gehrig's Disease),Joe McGuff,American,5446.0
96,1910,,February,2006, judge on the U,Max Rosenn,American,5481.0
76,1930, murdered,February,2006, TV writer director (Curious George animated films),Alan Shalleck,American,5760.0
59,1947,,February,2006, computer scientist,Gilles Kahn,French,2644.0
80,1926, Alzheimer's disease,February,2006, American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame,Ernie Stautner,Bavarian-born,18435.0
68,1938,,February,2006, Prime Minister of Serbia (1994–2000),Mirko Marjanovic,Serbian,10400.0
81,1925, complications from aspiration pneumonia and lung cancer,February,2006, actor (The Andy Griffith Show Three's Company),Don Knotts,American,28065.0
80,1926, poor health,February,2006, Wu Professor of Chinese Studies Princeton University (1980–1994) creator of the 15 volume The Cambridge History of China,Denis Twitchett,Gordon,6120.0
81,1925, complications from cancer,February,2006, actor (Gunsmoke McCloud),Dennis Weaver,American,19083.0
83,1923, natural causes,February,2006, actor (Kolchak: The Night Stalker A Christmas Story),Darren McGavin,American,19989.0
89,1917,,March,2006, Democratic lieutenant governor of New Mexico (1963 — 1966),Mack Easley,former,3944.0
83,1923, prostate cancer,March,2006, Democratic United States Representative from Michigan (1973–1977),Richard Vander Veen,former,11253.0
89,1917,,March,2006, Bishop of La Crosse (1983–1994),John Joseph Paul,American,6639.0
45,1961, stroke complications,March,2006, baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American,40157.0
97,1909,,March,2006, Wèi Lùshī 魏璐诗) Austrian-Chinese journalist and member of the Chinese People's Political Consultative Conference,Ruth Weiss,(also:,4633.0
79,1927,,March,2006, college football coach (Oklahoma State University),Floyd Gass,American,6425.0
88,1918,,March,2006, Democratic United States Representative from California (1956–1978),John Joseph McFall,former,6913.0
93,1913, cancer,March,2006, film director (Shaft),Gordon Parks,photographer,45546.0
81,1925,,March,2006, actor (Once Upon a Mattress) [70],Joseph Bova,American,3031.0
67,1939,,March,2006, novelist and founding editor of TriQuarterly,Charles Newman (author),American,9272.0
80,1926, chronic obstructive pulmonary disease,March,2006, actress (Plaza Suite Cocoon),Maureen Stapleton,American,27546.0
63,1943, plane crash,March,2006, game show host (Press Your Luck),Peter Tomarken,American,9873.0
87,1919, heart failure,March,2006, Prime Minister of Greece (1980–1981),Georgios Rallis,former,24521.0
86,1920, cancer,March,2006, of Pennsylvania House of Representatives (first African-American Speaker in any U.S. state government),K. Leroy Irvis,Speaker,8952.0
92,1914,,March,2006, (Australia) politician [109],Sir Wallace Rae,Queensland,3634.0
80,1926, and World War II veteran,March,2006, actor (Zorro) fencer,Britt Lomond,American,4126.0
82,1924,,March,2006, Labour MP for Bedford (1966–1970) [130],Brian Parkyn,British,3599.0
87,1919, (Dream Baby) for Roy Orbison et al,March,2006, country-western songwriter,Cindy Walker,American,15856.0
89,1917,,March,2006, film director (Tora! Tora! Tora! 20000 Leagues Under the Sea Soylent Green) [148],Richard Fleischer,American,10322.0
76,1930, heart attack,March,2006, country music star (Hee Haw),Buck Owens,American,27173.0
61,1945, cerebral hemorrhage [153],March,2006, politician,Anil Biswas (politician),Indian,3302.0
77,1929,,March,2006, television producer (Dark Shadows The Winds of War),Dan Curtis,American,8812.0
75,1931,,March,2006, Minister of Labour (1990–1991) and of Transport (2000–2002),Carlos Cat,Uruguayan,4296.0
78,1928, [176],March,2006, four time chief minister and defence minister of India during Indian Emergency (1975–77). [175],Bansi Lal,Haryana's,17447.0
84,1922, the General Secretary (1987–2000) and Vice-Chairman of the Cricket Society (2000–2001) [180],March,2006, administrator,Eric Budd,English,2519.0
85,1921,,March,2006, author and screenwriter (What Ever Happened to Baby Jane? Hush… Hush Sweet Charlotte),Henry Farrell,American,5607.0
80,1926, USA,March,2006," country singer/songwriter (""Don't Let Me Cross Over"" ""Just Over the Line"") longtime companion of William Little guitarist (Even Keel) of California",Penny Jay,American,4721.0
93,1913, National Champion (1954) [60],April,2006, cyclist,Hermann Schild,German,4367.0
81,1925, complications from brain haemorrhage,April,2006, film director (I Am Curious (Yellow)),Vilgot Sjöman,Swedish,11448.0
88,1918,,April,2006, (The Prime of Miss Jean Brodie),Dame Muriel Spark,British,15455.0
40,1966, [93],April,2006, noble epilepsy,Lord Eliot (Jago Eliot),English,6246.0
93,1913,,April,2006, author (The Taking of Pelham One Two Three) under the pseudonym of John Godey,Morton Freedgood,American,5743.0
50,1956, Lou Gehrig's disease,April,2006, television producer and director (The Shield),Scott Brazil,American,6027.0
88,1918,,April,2006, actor (As the World Turns),Henderson Forsythe,American,5563.0
89,1917,,April,2006, Physician to the Queen (1973-1981),Sir Richard Bayliss,British,6696.0
89,1917,,April,2006, Los Angeles police chief (1969–1978),Ed Davis,former,9710.0
84,1922,,April,2006, actress (The Third Man),Alida Valli,Italian,19245.0
84,1922,,April,2006, television writer and producer (The Love Boat Love American Style),Harvey Bullock,American,4114.0
93,1913,,April,2006, footballer (Hibernian F,Willie Finnigan,Scottish,2943.0
64,1942,,April,2006," TV and film actress (""The Adventures of William Tell"")",Jennifer Jayne,British,4566.0
91,1915, one of the largest Hassidic Jewish groups in the world,April,2006, Satmar,Grand Rabbi Moshe Teitelbaum (Satmar),of,15151.0
89,1917, stroke,April,2006, Canadian urban activist and author (The Death and Life of Great American Cities),Jane Jacobs,American-born,68714.0
42,1964,,April,2006, Major League Baseball pitcher (injuries due to a fall) [179],Russ Swan,former,4233.0
97,1909, natural causes,April,2006, economist and author (The Affluent Society),John Kenneth Galbraith,American,68825.0
105,1901,,April,2006, First World War veteran [206],William (Bill) Roberts,British,2667.0
65,1941,,May,2006, saxophonist (Johnny & the Hurricanes) [8],Johnny Paris,American,8399.0
88,1918, pulmonary hypertension,May,2006, theater actress director and teacher,Alejandra Boero,Argentine,3010.0
48,1958,,May,2006, Broadcasting Corporation (CBC) broadcaster,Lorne Saxberg,Canadian,4618.0
62,1944, heart attack,May,2006, television journalist (60 Minutes),Richard Carleton,Australian,8128.0
68,1938, pancreatic cancer,May,2006, voice actress and actress and tokusatsu legend (Kyoryu Sentai Zyuranger Mighty Morphin' Power Rangers etc.),Machiko Soga,Japanese,8556.0
73,1933,,May,2006, MHR for Division of Swan (1969–1975),Adrian Bennett,Australian,3758.0
94,1912,,May,2006, film writer and director (The Quatermass Xperiment Casino Royale) [56],Val Guest,British,14700.0
85,1921, stroke,May,2006, actor (Tom Corbett Space Cadet),Frankie Thomas,American,10616.0
92,1914,,May,2006, scriptwriter (Bedtime for Bonzo),Ted Berkman,author,4457.0
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,5561.0
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,5561.0
93,1913,,May,2006, football coach at University of Virginia (1965–1970),George Blackburn,head,9417.0
66,1940,,May,2006, author (Fat Girl - A True Story),Judith Moore,American,4127.0
84,1922,,May,2006, NSW MLC (1984–1995),Beryl Evans,Australian,3756.0
49,1957, suspected heart attack [109],May,2006, NFL football player (Cincinnati Bengals),Dan Ross,former,8768.0
95,1911,,May,2006, Broadway producer and writer (Guys and Dolls),Cy Feuer,American,7893.0
37,1969,,May,2006, drummer (Built to Spill),"James Andrew ""Andy"" Capps",former,17734.0
77,1929,,May,2006, actor (Tora! Tora! Tora!),Takahiro Tamura,Japanese,6422.0
91,1915, prostate cancer,May,2006, Awards-winning art director (To Kill a Mockingbird The Sting),Henry Bumstead,Academy,11792.0
86,1920, lung ailments,May,2006, for Connecticut 3rd District (1959−1981),Robert Giaimo,Congressman,5578.0
64,1942, engineer for Digital Equipment,May,2006, early video game designer (Spacewar!),Alan Kotok,American,23629.0
84,1922, cancer,May,2006, tennis player winner at Wimbledon (1949) and the U.S. Open (1942),Ted Schroeder,American,19906.0
67,1939, mesothelioma,May,2006, actor (The Breakfast Club),Paul Gleason,American,13325.0
77,1929,,May,2006, comic book artist and cartoonist (Space Ghost Jonny Quest),Alex Toth,American,24517.0
82,1924, complications from renal failure,May,2006, historian,Fermín Chávez,Argentine,9187.0
79,1927, liver cancer,May,2006, film director (Black Rain) two-time winner of the Palme d'Or,Shohei Imamura,Japanese,12917.0
84,1922, father of folk singer Maddy Prior,June,2006, television scriptwriter (Z-Cars Howards' Way The Charmer),Allan Prior,British,3386.0
87,1919,,June,2006, of American Bandstand (1952–1969),Edward Yates,director,3458.0
46,1960,,June,2006, footballer (Tranmere Rovers),John Kerr,British,3455.0
59,1947, malignant hypertension leading to kidney failure,June,2006," musician (""You Are So Beautiful"" ""Nothing from Nothing"") known for his work with the Beatles",Billy Preston,American,44509.0
74,1932,,June,2006, cancer (see [43]),Terry McCann,Olympic,9064.0
95,1911, brother of Otto Preminger,June,2006, talent agent and producer (M*A*S*H),Ingo Preminger,Hollywood,3203.0
42,1964, bladder cancer,June,2006, professional wrestler for the World Wrestling Federation,John Tenta (aka Earthquake),Canadian,30943.0
65,1941,,June,2006, comic book artist and co-founder of Rip Off Press,Jack Jackson (nom de plume Jaxon),American,9982.0
43,1963, heart attack [109],June,2006, comedian member of Casseta & Planeta,Cláudio Besserman Vianna (Bussunda),Brazilian,4427.0
86,1920, emphysema and heart disease,June,2006, character actor (Sands of Iwo Jima Invaders from Mars),Arthur Franz,American,8413.0
71,1935, cause unknown,June,2006, politician leader of the Agrarian Party and former president of the Altai Republic (2002–2006),Mikhail Lapshin,Russian,3594.0
77,1929,,June,2006, director in Hollywood (“The Night of the Following Day” “Les Grandes Moyens” etc,Hubert Cornfield,film,2395.0
99,1907, natural causes,June,2006, film director (Mr. Skeffington The Young Philadelphians),Vincent Sherman,American,8217.0
81,1925,,June,2006, Dean of Jersey (1985–1993),Basil O'Ferrall,Irish,4233.0
70,1936,,June,2006, rules footballer (North Melbourne),Tom Pelly,Australian,3312.0
83,1923, complications of stroke,June,2006, television producer (Charlie's Angels Starsky and Hutch Beverly Hills 90210),Aaron Spelling,American,13853.0
68,1938,,July,2006, Minister of Japan (1996–1998),Ryutaro Hashimoto,Prime,17791.0
55,1951, suicide by gunshot,July,2006, actor (As the World Turns),Benjamin Hendrickson,American,6986.0
32,1974, suicide,July,2006, film director,Juan Pablo Rebella,Uruguayan,4188.0
80,1926, stroke,July,2006, actress (Bewitched) and motocross racer,Kasey Rogers,American,7687.0
79,1927, cancer,July,2006, of Lebanon (1989–98),Elias Hrawi,President,11168.0
93,1913, died in his sleep,July,2006, of Milwaukee (1948–1960) and last Socialist Party of America mayor of a major city,Frank P. Zeidler,Mayor,16596.0
97,1909,,July,2006, novelist (Kanthapura),Raja Rao,Indian,28951.0
68,1938,,July,2006," singer (""Ain't Misbehavin'"")",Tommy Bruce,British,4787.0
69,1937,,July,2006, baseball player (All-American Girls Professional Baseball League),Phyllis Baker,American,6912.0
90,1916,,July,2006, Tony and Emmy Award-winning actor (Doc Hollywood First Monday in October),Barnard Hughes,American,12231.0
89,1917, stroke,July,2006, actor (Sahara The Enemy Below),Kurt Kreuger,Swiss-German,6855.0
64,1942,,July,2006, actress (Django Ten Thousand Dollars for a Massacre) and model,Loredana Nusciak,Italian,3368.0
73,1933, pancreatic cancer,July,2006, actor,Raul Cortez,Brazilian,7255.0
89,1917,,July,2006, Review theater critic and editor of Best Plays (1960–1964),Henry Hewes,Saturday,5067.0
85,1921, heart and kidney failure,July,2006, Award-winning American actor (Heaven Can Wait While You Were Sleeping),Jack Warden,Emmy,17109.0
83,1923, sculptor and writer,July,2006, painter,Ugo Attardi,Italian,7754.0
92,1914,,July,2006, Marxist economist and historian,Charles Bettelheim,French,18919.0
89,1917,,July,2006, character actor (Thing From Another World),Robert Cornthwaite,American,7336.0
77,1929, Lord Mayor of Dublin (1975–1976) and senator,July,2006, politician,Paddy Dunne,Irish,5497.0
73,1933, prostate cancer,July,2006, Democratic leader of Queens NY former US Representative (1985–99),Thomas J. Manton,longtime,7477.0
86,1920,,July,2006, government minister,Rolf Arthur Hansen,Norwegian,3117.0
87,1919, hydrocephalus,July,2006, of The Ohio State University (1972–1981) fired football coach Woody Hayes,Harold Enarson,president,4259.0
86,1920,,July,2006, of the United States House of Representatives (1982–1992),James Olin,member,6643.0
75,1931, cancer,August,2006, politician prime minister of Hesse (1976–1987),Holger Börner,German,6669.0
64,1942, cancer,August,2006, filmmaker and director (Il Bacio di Tosca),Daniel Schmid,Swiss,6156.0
77,1929,,August,2006, former President of the Queensland National Party (1970–1990),Sir Robert Sparkes,Australian,2728.0
89,1917,,August,2006, Olympic field hockey player (1948),Rafael Ruiz,Spanish,2252.0
71,1935,,August,2006, (1981–1998),Alice Ilchman,American,4160.0
89,1917,,August,2006, Speaker of the New York State Assembly (1959–1964),Joseph Carlino,American,4976.0
90,1916, stroke,August,2006, National Boxing Association middleweight champion (1938–1939),Al Hostak,American,11733.0
31,1975, suicide,August,2006, lead guitarist and vocalist (Dissection) convicted of felony murder,Jon Nödtveidt,Swedish,6678.0
49,1957, amyotrophic lateral sclerosis,August,2006, boxer first Thai Olympic medal winner (bronze 1976) World Boxing Council champion,Payao Poontarat,Thai,5864.0
57,1949, complications from leukemia,August,2006, character actor (The Godfather Part II City Slickers),Bruno Kirby,American,8712.0
93,1913, complications from hernia surgery,August,2006, President (1954–1989),Alfredo Stroessner,Paraguayan,27302.0
59,1947,,August,2006, rugby union player (1967–1970),Ken Goodall,Irish,3624.0
82,1924, discovered cause of sickle cell anemia,August,2006, American molecular biologist (MIT),Vernon Ingram,German-born,10537.0
87,1919,,August,2006, film producer (Super Fly),Sig Shore,American,3956.0
84,1922,,August,2006, American professor of economics (Columbia University),Jacob Mincer,Polish-born,10078.0
75,1931,,August,2006, film director,Giuseppe Moccia,Italian,3724.0
94,1912, natural causes,August,2006, Pulitzer Prize-winning photographer (Raising the Flag on Iwo Jima),Joe Rosenthal,American,16174.0
75,1931, heart attack,August,2006, Labor politician Victorian Minister for Sport (1982–1992) Australian rules football player,Neil Trezise,Australian,8961.0
60,1946, cancer,August,2006, politician (KrF) Minister of Education (1997–2000),Jon Lilletun,Norwegian,8910.0
89,1917,,August,2006, test cricketer (1949–1953),Geff Noblet,Australian,4074.0
55,1951, lymphoma,August,2006, drummer (The Knack),Bruce Gary,American,5370.0
90,1916,,August,2006, Provost of Wakefield (1972–1982),John Lister,British,5088.0
56,1950, heart attack,August,2006, news anchor (CNN),Jay Young,American,4363.0
66,1940,,August,2006, actor (Live and Let Die),Earl Jolly Brown,American,3011.0
91,1915,,August,2006, journalist and politician,Herbert Hupka,German,6250.0
65,1941, heart attack,August,2006, actor,Viktor Pavlov,Russian,4009.0
75,1931,,August,2006, chairman of Granada Television (1987–1992),David Plowright,British,6444.0
89,1917,,August,2006, baseball player (Cincinnati Reds New York Giants),Gene Thompson,American,4919.0
88,1918,,August,2006, President (1987–1997),Noor Hassanali,Trinidadian,7674.0
84,1922, co-creator of The Outer Limits,August,2006, screenwriter (Psycho),Joseph Stefano,American,7435.0
82,1924, Chairman of the CDU,August,2006, President of the Bundestag,Rainer Barzel,German,7857.0
65,1941, car crash,August,2006, football coach (Dnipro Dnipropetrovsk),Yevhen Kucherevskyi,Ukrainian,9592.0
93,1913,,August,2006, plaintiff (McCollum v,Vashti McCollum,American,13277.0
75,1931, cancer,August,2006, Archbishop of Mariana,Luciano Mendes de Almeida,Brazilian,3251.0
37,1969, complications of diabetic coma,August,2006, guitarist (Terrorizer Napalm Death),Jesse Pintado,American,8830.0
80,1926, heart failure,August,2006, actress (The Great Gildersleeve),Mary Lee Robb Cline,American,3237.0
56,1950,,August,2006, drummer (Gong Hatfield and the North),Pip Pyle,British,8759.0
87,1919, pneumonia,August,2006, Governor of Hawaii (1957–1962),William F. Quinn,American,8248.0
84,1922,,August,2006, author (The Last Angry Man) and screenwriter (Holocaust),Gerald Green,American,9570.0
90,1916,,August,2006, American actor (Blackboard Jungle Cimarron),Glenn Ford,Canadian-born,33719.0
93,1913,,August,2006, baseball player (Boston Red Sox),Charlie Wagner,American,5713.0
66,1940, heart attack,September,2006, wrestler and coach (Oklahoma State University),Tommy Chesbro,American,2659.0
68,1938, heart failure,September,2006, football player (San Francisco 49ers),Monty Stickles,American,6641.0
77,1929, Parkinson's disease,September,2006, comedian and footballer (Doncaster Rovers),Charlie Williams,British,11153.0
69,1937,,September,2006, ethnologist and archaeologist,Françoise Claustre,French,4200.0
91,1915, heart failure,September,2006, actress,Annemarie Wendl,German,5410.0
38,1968, suicide,September,2006, writer film producer and director (Man Bites Dog),Rémy Belvaux,Belgian,6763.0
86,1920,,September,2006, film director,Tamás Fejér,Hungarian,2447.0
44,1962, stingray barb to the chest,September,2006, naturalist (The Crocodile Hunter),Steve Irwin,Australian,45802.0
26,1980, suicide by hanging,September,2006, African jazz saxophonist Best Newcomer at South African Music Awards (2002),Moses Khumalo,South,3259.0
66,1940, cancer,September,2006, television presenter (Holiday),Anne Gregg,British,6526.0
83,1923,,September,2006, comics artist (James Bond),John McLusky,British,4850.0
89,1917, after long illness,September,2006, finance columnist (Boston Globe) husband of Beverly Sills,Peter Greenough,American,3543.0
89,1917, heart attack,September,2006, television journalist (NBC and CBS),Gordon Manning,American,4729.0
76,1930, President of the Chichester Festival Theatre,September,2006, politician MP for Arundel (1974–1997),Sir Michael Marshall,British,7999.0
77,1929,,September,2006, painter,Efraim Allsalu,Estonian,3367.0
78,1928,,September,2006, Medical Officer to the Queen (1976–1993),Sir Norman Blacklock,British,5353.0
74,1932,,September,2006, Ambassador to Italy (1989–1992),Sir Stephen Egerton,British,3503.0
74,1932,,September,2006, controller of the BBC in Northern Ireland (1979–1989),James Hawthorne,British,4400.0
71,1935, pulmonary fibrosis,September,2006, Governor of Montana (1973–1981),Thomas Lee Judge,American,6968.0
87,1919,,September,2006, character actor (As Time Goes By),Frank Middlemass,British,9623.0
80,1926, stroke,September,2006, college football coach (University of Georgia Georgia Southern University),Erk Russell,American,16731.0
79,1927, cancer,September,2006, screenwriter (The Fearless Vampire Killers The Name of the Rose),Gérard Brach,French,4887.0
84,1922, complications from Alzheimer's disease,September,2006, Representative for California (1973–1983),Clair Burgener,American,8843.0
27,1979, ARVC,September,2006, footballer (Hinckley United ),Matt Gadsby,British,6804.0
71,1935,,September,2006, Representative for Oklahoma (1975–1979),Ted Risenhoover,American,7220.0
76,1930, heart failure,September,2006, actor (Murphy Brown),Pat Corley,American,11308.0
88,1918,,September,2006, author (The Desperate Hours),Joseph Hayes,American,4110.0
85,1921,,September,2006, first president of the European Patent Office (1977–1985),Johannes Bob van Benthem,Dutch,4549.0
65,1941, cancer,September,2006, football player (Pittsburgh Steelers),Bill Saul,American,3114.0
66,1940,,September,2006, football player (Chester City),Brian Biggins,English,3338.0
25,1981, suicide by gunshot,September,2006, school shooter (Dawson College shooting),Kimveer Gill,Canadian,9671.0
73,1933, esophageal cancer,September,2006, Governor of Texas (1991–1995),Ann Richards,American,40205.0
58,1948, brain cancer,September,2006, journalist and presenter,Paulo Marques,Brazilian,3078.0
91,1915, pancreatic cancer,September,2006, television actor (Search for Tomorrow),Terry O'Sullivan,American,3378.0
84,1922,,September,2006, television presenter (Tomorrow's World),Raymond Baxter,British,11178.0
78,1928,,September,2006, professor of psychology (University of Minnesota),David T. Lykken,American,7361.0
19,1987, plane crash,September,2006, actor (Greetings from Tucson),Pablo Santos,Mexican,4536.0
83,1923, heart attack,September,2006, Minister for Foreign Affairs (1985–1991) and Minister for Social Affairs (1982–1985),Sten Andersson,Swedish,4442.0
81,1925,,September,2006, four-time Stanley Cup winner (Montreal Canadiens),Floyd Curry,Canadian,4598.0
81,1925,,September,2006, Major League Baseball player (Brooklyn Dodgers),Jack Banta,American,3107.0
66,1940,,September,2006, footballer (Manchester City),George Heslop,English,4737.0
58,1948,,September,2006, anime voice actor (Sailor Moon Dragon Ball),Kazuyuki Sogabe,Japanese,6977.0
81,1925,,September,2006, Governor of Massachusetts (1979–1983),Edward J. King,American,11695.0
77,1929,,September,2006, actress (Donovan's Reef Do I Hear a Waltz? The Jackie Gleason Show),Elizabeth Allen,American,8571.0
77,1929, pneumonia,September,2006, saxophonist and vocalist (The Champs),Danny Flores,American,6359.0
47,1959, cancer,September,2006, rules football player (Richmond St Kilda),Terry Smith,Australian,4258.0
65,1941,,September,2006, professor of women's studies (Concordia University),Lillian Robinson,American,6107.0
83,1923,,September,2006, college football coach (Michigan State University),Muddy Waters,American,8662.0
60,1946, heart attack,September,2006, bassist and vocalist (Bad Company King Crimson),Boz Burrell,British,16921.0
86,1920,,September,2006, television writer and Emmy Award-nominated producer (The F,Charles Larson,American,2980.0
56,1950,,September,2006, basketball player,Carla Benschop,Dutch,3639.0
84,1922, chest infection,September,2006, Academy Award-winning film score composer (The Bridge on the River Kwai),Sir Malcolm Arnold,British,19114.0
88,1918, cancer,September,2006, Deputy Premier of New South Wales (1965–1975),Sir Charles Cutler,Australian,9430.0
49,1957,,September,2006, artist and screenwriter(Without You I'm Nothing),John S. Boskovich,American,4396.0
86,1920, heart failure and pneumonia,September,2006, Republican congressman for Virginia (1953–1975),Joel Broyhill,American,10082.0
56,1950, heart attack,September,2006, actor president of Actors' Equity Association (2000–2006),Patrick Quinn,American,4333.0
85,1921,,September,2006, author (Seventeenth Summer),Maureen Daly,American,5681.0
96,1910,,September,2006, First Hierarch of the Russian Orthodox Church Outside Russia (1985–2001),Metropolitan Vitaly Ustinov,Russian,7170.0
77,1929,,September,2006, inventor of Sandmännchen children's television character,Gerhard Behrendt,German,4550.0
86,1920, emphysema,September,2006, radio broadcaster and television host (The $64000 Challenge),Ralph Story,American,6869.0
30,1976, heart failure,September,2006, singer,Jan Werner Danielsen,Norwegian,14876.0
92,1914,,September,2006, MP for Hunter (1960–1980),Bert James,Australian,4040.0
73,1933, leukemia,September,2006, oil and mining entrepreneur,Adolf H. Lundin,Swedish,4772.0
99,1907,,September,2006, ballet dancer,Pino Mlakar,Slovenian,3551.0
78,1928,,September,2006, novelist,André Schwarz-Bart,French,6073.0
79,1927, melanoma,September,2006, writer of Hungarian descent,András Sütő,Romanian,13020.0
74,1932,,October,2006, film director (Jacob the Liar),Frank Beyer,German,20910.0
82,1924, second wife of President Fulgencio Batista,October,2006, First Lady (1952–1959),Marta Fernandez Miranda de Batista,Cuban,6291.0
68,1938, car accident,October,2006, Republican Representative for Idaho (1995–2001),Helen Chenoweth-Hage,American,13815.0
59,1947, complications from pneumonia and multiple sclerosis,October,2006, actress (Cleopatra Jones),Tamara Dobson,American,5367.0
85,1921,,October,2006, Major League Baseball player (Cincinnati Reds),Clyde Vollmer,American,6432.0
80,1926, writer and film director,October,2006, actor,Riccardo Pazzaglia,Italian,3736.0
78,1928, cousin of Huey Long,October,2006, Democratic Representative for Louisiana (1964–1972),Speedy O. Long,American,25904.0
75,1931, silver medalist in the 200m at the 1952 Olympics,October,2006, athlete,Bertha Brouwer,Dutch,3430.0
66,1940,,October,2006, film director,Eduardo Mignogna,Argentinian,3908.0
25,1981, car accident,October,2006, news reporter (24 Oras),Danifel Campilan,Filipino,8515.0
85,1921,,October,2006, Catholic bishop,Pavol Hnilica,Slovak,3188.0
93,1913,,October,2006, archaeologist specializing in Hittitology,Sedat Alp,Turkish,8130.0
75,1931, stroke,October,2006, transsexual singer,Coccinelle,French,6831.0
80,1926,,October,2006, Minister of State for Housing and Local Government (1974–1979),Reg Freeson,British,7788.0
60,1946, composer and lyricist,October,2006, singer,Marek Grechuta,Polish,8453.0
73,1933, heart attack,October,2006, politician and diplomat (Interior Minister 1969–1976),Mario Moya Palencia,Mexican,4639.0
82,1924,,October,2006, CEO of Novell (1982–1994),Raymond Noorda,American,7376.0
68,1938, prostate cancer,October,2006, Emmy-winning television comedy writer (Tracey Ullman Dick Van Dyke),Jerry Belson,American,6587.0
100,1906,,October,2006, won 1980 Sahitya Akademi Award (Kristubhagavatam),P. C. Devassia,Indian,9376.0
76,1930,,October,2006, Secretary-General of the General Synod of the Church of England (1972–1990) [74],Sir Derek Pattinson,British,10021.0
72,1934,,October,2006, Attorney General of Ontario (1985–1990),Ian Scott,Canadian,13230.0
86,1920,,October,2006, Conservative MP for St Albans (1959–1983),Sir Victor Goodhew,British,7363.0
34,1972, victim of the 2006 New York City plane crash,October,2006, baseball pitcher (New York Yankees),Cory Lidle,American,12894.0
96,1910,,October,2006, judge and Vice-Chancellor of the Supreme Court (1982–1985),Sir Robert Megarry,British,10692.0
88,1918,,October,2006, baseball player and coach (Boston College),Eddie Pellagrini,American,6590.0
91,1915,,October,2006, racing driver,Eugène Martin,French,3899.0
86,1920, heart failure,October,2006, film director (The Battle of Algiers),Gillo Pontecorvo,Italian,17196.0
87,1919,,October,2006, Virginia (1992–1994),Mason Andrews,American,9024.0
84,1922,,October,2006, Prefect of the Pontifical Household (1986–1998),Dino Monduzzi,Italian,4083.0
69,1937, lung cancer,October,2006," singer (""Before the Next Teardrop Falls"")",Freddy Fender,American,19246.0
69,1937, pulmonary embolism,October,2006, first openly gay congressman represented Massachusetts (1973–1997),Gerry Studds,American,16208.0
86,1920,,October,2006, actor (Callan Scott of the Antarctic),Derek Bond,British,6434.0
