date_in_year,deaths,total_deaths,html
1119,18,5880,X
1120,16,5896,X
1121,14,5910,X
1122,19,5929,X
1123,22,5951,X
1124,21,5972,X
1125,18,5990,X
1126,15,6005,X
1127,18,6023,X
1128,41,6064,X
1129,19,6083,X
1130,9,6092,X
1201,13,6105,X
1202,19,6124,X
1203,17,6141,X
1204,17,6158,X
1205,14,6172,X
1206,11,6183,X
1207,23,6206,X
1208,14,6220,X
1209,17,6237,X
1210,34,6271,X
1211,17,6288,X
1212,23,6311,X
1213,13,6324,X
1214,21,6345,X
1215,15,6360,X
1216,9,6369,X
1217,12,6381,X
1218,23,6404,X
1219,17,6421,X
1220,12,6433,X
1221,16,6449,X
1222,15,6464,X
1223,24,6488,X
1224,25,6513,X
1225,23,6536,X
1226,24,6560,X
1227,16,6576,X
1228,21,6597,X
1229,29,6626,X
1230,21,6647,X
1231,22,6669,X
